"customer_id","gender"
"1","1"
"2","2"
"3","1"
"4","1"
"5","1"
"6","1"
"7","1"
"8","1"
"9","1"
"10","2"
"11","1"
"12","2"
"13","1"
"15","2"
"16","1"
"17","1"
"18","1"
"19","1"
"20","1"
"21","1"
"22","1"
"23","1"
"24","1"
"25","1"
"26","1"
"27","1"
"28","2"
"29","1"
"30","1"
"31","1"
"32","1"
"33","1"
"34","1"
"35","1"
"36","1"
"37","1"
"38","1"
"39","1"
"40","1"
"42","1"
"43","1"
"44","1"
"45","1"
"46","1"
"47","1"
"48","1"
"49","1"
"50","2"
"51","1"
"52","2"
"53","1"
"54","1"
"55","1"
"56","1"
"57","1"
"58","1"
"59","1"
"60","1"
"61","1"
"62","1"
"63","2"
"64","1"
"65","1"
"66","1"
"67","1"
"68","1"
"69","1"
"70","1"
"71","1"
"72","1"
"73","1"
"74","1"
"75","1"
"76","1"
"77","1"
"78","1"
"79","1"
"80","1"
"81","1"
"82","1"
"83","2"
"84","1"
"85","1"
"86","2"
"87","1"
"88","1"
"89","2"
"90","1"
"91","1"
"92","2"
"93","1"
"94","1"
"95","1"
"96","1"
"97","1"
"98","1"
"99","1"
"100","1"
"101","1"
"102","1"
"103","1"
"104","1"
"105","1"
"106","1"
"107","1"
"108","1"
"109","1"
"110","2"
"111","1"
"113","2"
"114","1"
"115","1"
"116","1"
"117","1"
"118","1"
"119","2"
"120","1"
"121","1"
"122","1"
"123","1"
"124","1"
"125","1"
"126","1"
"127","1"
"128","2"
"129","1"
"130","1"
"131","1"
"132","1"
"133","2"
"134","1"
"135","1"
"136","2"
"137","2"
"138","1"
"139","2"
"140","1"
"141","1"
"144","1"
"146","1"
"147","1"
"148","1"
"149","1"
"150","1"
"151","1"
"152","1"
"153","1"
"154","1"
"155","1"
"156","1"
"157","2"
"158","1"
"159","2"
"160","1"
"161","1"
"162","1"
"163","2"
"164","1"
"165","1"
"166","1"
"167","1"
"168","1"
"169","1"
"170","1"
"171","1"
"172","1"
"173","1"
"174","2"
"175","1"
"176","2"
"177","1"
"178","1"
"179","1"
"180","1"
"181","2"
"182","1"
"183","2"
"184","1"
"185","1"
"186","1"
"187","1"
"188","2"
"189","1"
"190","1"
"191","1"
"192","1"
"193","1"
"194","1"
"195","1"
"196","1"
"197","1"
"198","1"
"199","1"
"200","1"
"201","1"
"202","1"
"205","2"
"207","1"
"208","1"
"209","1"
"210","1"
"211","1"
"212","1"
"213","1"
"214","2"
"215","1"
"216","1"
"217","1"
"218","1"
"219","1"
"220","2"
"221","1"
"222","1"
"223","1"
"224","1"
"225","1"
"226","1"
"227","2"
"228","1"
"229","1"
"230","1"
"231","1"
"232","1"
"233","2"
"234","2"
"235","1"
"236","1"
"237","1"
"238","1"
"239","1"
"240","2"
"241","1"
"242","1"
"243","1"
"244","1"
"245","1"
"247","1"
"249","1"
"250","2"
"251","2"
"252","1"
"253","2"
"254","1"
"255","1"
"256","1"
"257","1"
"258","1"
"259","1"
"260","1"
"261","1"
"262","1"
"263","1"
"264","1"
"265","1"
"266","1"
"267","1"
"268","1"
"269","1"
"270","2"
"271","1"
"272","1"
"273","1"
"274","2"
"275","1"
"276","1"
"277","1"
"278","1"
"279","1"
"280","1"
"281","2"
"282","2"
"283","1"
"284","1"
"285","1"
"286","1"
"287","1"
"288","2"
"289","1"
"290","1"
"291","1"
"292","1"
"293","1"
"294","1"
"295","1"
"296","1"
"297","1"
"298","1"
"299","1"
"300","1"
"301","2"
"302","2"
"303","1"
"304","1"
"305","1"
"306","1"
"307","2"
"308","1"
"310","2"
"311","1"
"312","1"
"313","2"
"314","1"
"315","1"
"316","1"
"318","1"
"319","1"
"320","2"
"321","1"
"322","1"
"323","1"
"324","2"
"325","1"
"326","1"
"327","1"
"328","1"
"329","1"
"330","1"
"331","1"
"332","1"
"333","2"
"334","2"
"335","1"
"336","1"
"337","2"
"338","1"
"339","1"
"340","1"
"341","1"
"342","1"
"343","2"
"344","2"
"345","2"
"346","1"
"347","1"
"348","2"
"349","1"
"350","1"
"351","1"
"352","1"
"353","1"
"354","1"
"355","1"
"356","2"
"357","1"
"358","1"
"359","1"
"360","1"
"361","1"
"362","1"
"363","1"
"364","2"
"365","1"
"366","1"
"367","1"
"369","2"
"370","1"
"371","1"
"372","1"
"373","1"
"374","1"
"375","1"
"376","1"
"377","1"
"378","1"
"379","2"
"380","1"
"381","2"
"382","1"
"383","2"
"384","1"
"385","1"
"386","1"
"387","1"
"388","1"
"389","1"
